port,status,service,banner
316,closed,unknown,
317,closed,unknown,
318,closed,unknown,
319,closed,unknown,
320,closed,unknown,
321,closed,unknown,
322,closed,unknown,
323,closed,unknown,
324,closed,unknown,
325,closed,unknown,
326,closed,unknown,
327,closed,unknown,
328,closed,unknown,
329,closed,unknown,
330,closed,unknown,
331,closed,unknown,
332,closed,unknown,
333,closed,unknown,
334,closed,unknown,
335,closed,unknown,
336,closed,unknown,
337,closed,unknown,
338,closed,unknown,
339,closed,unknown,
340,closed,unknown,
341,closed,unknown,
342,closed,unknown,
343,closed,unknown,
344,closed,unknown,
345,closed,unknown,
346,closed,unknown,
347,closed,unknown,
348,closed,unknown,
349,closed,unknown,
350,closed,unknown,
351,closed,unknown,
352,closed,unknown,
353,closed,unknown,
354,closed,unknown,
355,closed,unknown,
356,closed,unknown,
357,closed,unknown,
358,closed,unknown,
359,closed,unknown,
360,closed,unknown,
361,closed,unknown,
362,closed,unknown,
363,closed,unknown,
364,closed,unknown,
365,closed,unknown,
366,closed,unknown,
367,closed,unknown,
368,closed,unknown,
369,closed,unknown,
370,closed,unknown,
371,closed,unknown,
372,closed,unknown,
373,closed,unknown,
374,closed,unknown,
375,closed,unknown,
376,closed,unknown,
377,closed,unknown,
378,closed,unknown,
379,closed,unknown,
380,closed,unknown,
381,closed,unknown,
382,closed,unknown,
383,closed,unknown,
384,closed,unknown,
385,closed,unknown,
386,closed,unknown,
387,closed,unknown,
388,closed,unknown,
389,closed,ldap,
390,closed,unknown,
391,closed,unknown,
392,closed,unknown,
393,closed,unknown,
394,closed,unknown,
395,closed,unknown,
396,closed,unknown,
397,closed,unknown,
398,closed,unknown,
399,closed,unknown,
400,closed,unknown,
401,closed,unknown,
402,closed,unknown,
403,closed,unknown,
404,closed,unknown,
405,closed,unknown,
406,closed,unknown,
407,closed,unknown,
408,closed,unknown,
409,closed,unknown,
410,closed,unknown,
411,closed,unknown,
412,closed,unknown,
413,closed,unknown,
414,closed,unknown,
415,closed,unknown,
416,closed,unknown,
417,closed,unknown,
418,closed,unknown,
419,closed,unknown,
420,closed,unknown,
421,closed,unknown,
422,closed,unknown,
423,closed,unknown,
424,closed,unknown,
425,closed,unknown,
426,closed,unknown,
427,closed,unknown,
428,closed,unknown,
429,closed,unknown,
430,closed,unknown,
431,closed,unknown,
432,closed,unknown,
433,closed,unknown,
434,closed,unknown,
435,closed,unknown,
436,closed,unknown,
437,closed,unknown,
438,closed,unknown,
439,closed,unknown,
440,closed,unknown,
441,closed,unknown,
442,closed,unknown,
443,closed,https,
444,closed,unknown,
445,closed,microsoft-ds,
446,closed,unknown,
447,closed,unknown,
448,closed,unknown,
449,closed,unknown,
450,closed,unknown,
451,closed,unknown,
452,closed,unknown,
453,closed,unknown,
454,closed,unknown,
455,closed,unknown,
456,closed,unknown,
457,closed,unknown,
458,closed,unknown,
459,closed,unknown,
460,closed,unknown,
461,closed,unknown,
462,closed,unknown,
463,closed,unknown,
464,closed,unknown,
465,closed,smtps,
466,closed,unknown,
467,closed,unknown,
468,closed,unknown,
469,closed,unknown,
470,closed,unknown,
471,closed,unknown,
472,closed,unknown,
473,closed,unknown,
474,closed,unknown,
475,closed,unknown,
476,closed,unknown,
477,closed,unknown,
478,closed,unknown,
479,closed,unknown,
480,closed,unknown,
481,closed,unknown,
482,closed,unknown,
483,closed,unknown,
484,closed,unknown,
485,closed,unknown,
486,closed,unknown,
487,closed,unknown,
488,closed,unknown,
489,closed,unknown,
490,closed,unknown,
491,closed,unknown,
492,closed,unknown,
493,closed,unknown,
494,closed,unknown,
495,closed,unknown,
496,closed,unknown,
497,closed,unknown,
498,closed,unknown,
499,closed,unknown,
500,closed,unknown,
501,closed,unknown,
502,closed,unknown,
503,closed,unknown,
504,closed,unknown,
505,closed,unknown,
506,closed,unknown,
507,closed,unknown,
508,closed,unknown,
509,closed,unknown,
510,closed,unknown,
511,closed,unknown,
512,closed,unknown,
513,closed,unknown,
514,closed,unknown,
515,closed,unknown,
516,closed,unknown,
517,closed,unknown,
518,closed,unknown,
519,closed,unknown,
520,closed,unknown,
521,closed,unknown,
522,closed,unknown,
523,closed,unknown,
524,closed,unknown,
525,closed,unknown,
526,closed,unknown,
527,closed,unknown,
528,closed,unknown,
529,closed,unknown,
530,closed,unknown,
531,closed,unknown,
532,closed,unknown,
533,closed,unknown,
534,closed,unknown,
535,closed,unknown,
536,closed,unknown,
537,closed,unknown,
538,closed,unknown,
539,closed,unknown,
540,closed,unknown,
541,closed,unknown,
542,closed,unknown,
543,closed,unknown,
544,closed,unknown,
545,closed,unknown,
546,closed,unknown,
547,closed,unknown,
548,closed,unknown,
549,closed,unknown,
550,closed,unknown,
551,closed,unknown,
552,closed,unknown,
553,closed,unknown,
554,closed,unknown,
555,closed,unknown,
556,closed,unknown,
557,closed,unknown,
558,closed,unknown,
559,closed,unknown,
560,closed,unknown,
561,closed,unknown,
562,closed,unknown,
563,closed,unknown,
564,closed,unknown,
565,closed,unknown,
566,closed,unknown,
567,closed,unknown,
568,closed,unknown,
569,closed,unknown,
570,closed,unknown,
571,closed,unknown,
572,closed,unknown,
573,closed,unknown,
574,closed,unknown,
575,closed,unknown,
